simID	systemTime	nTrials	defCount
0	40	100	28
0	42	100	35
0	45	100	38
0	50	100	49
0	55	100	67
0	60	100	71
1	40	100	21
1	42	100	21
1	45	100	31
1	50	100	41
1	55	100	62
1	60	100	66
2	40	100	30
2	42	100	34
2	45	100	43
2	50	100	60
2	55	100	69
2	60	100	74
3	40	100	28
3	42	100	34
3	45	100	39
3	50	100	58
3	55	100	70
3	60	100	75
4	40	100	19
4	42	100	31
4	45	100	39
4	50	100	50
4	55	100	62
4	60	100	75
5	40	100	30
5	42	100	36
5	45	100	37
5	50	100	59
5	55	100	69
5	60	100	74
6	40	100	22
6	42	100	26
6	45	100	38
6	50	100	50
6	55	100	65
6	60	100	79
7	40	100	24
7	42	100	28
7	45	100	37
7	50	100	47
7	55	100	56
7	60	100	73
8	40	100	28
8	42	100	33
8	45	100	42
8	50	100	56
8	55	100	72
8	60	100	81
9	40	100	24
9	42	100	29
9	45	100	41
9	50	100	52
9	55	100	66
9	60	100	73
10	40	100	38
10	42	100	40
10	45	100	45
10	50	100	57
10	55	100	68
10	60	100	78
11	40	100	25
11	42	100	32
11	45	100	44
11	50	100	59
11	55	100	65
11	60	100	72
12	40	100	20
12	42	100	22
12	45	100	31
12	50	100	54
12	55	100	66
12	60	100	77
13	40	100	30
13	42	100	30
13	45	100	44
13	50	100	52
13	55	100	68
13	60	100	77
14	40	100	32
14	42	100	43
14	45	100	48
14	50	100	60
14	55	100	71
14	60	100	75
15	40	100	28
15	42	100	31
15	45	100	47
15	50	100	60
15	55	100	72
15	60	100	79
16	40	100	29
16	42	100	34
16	45	100	40
16	50	100	52
16	55	100	69
16	60	100	82
17	40	100	26
17	42	100	33
17	45	100	39
17	50	100	63
17	55	100	73
17	60	100	81
18	40	100	27
18	42	100	31
18	45	100	38
18	50	100	49
18	55	100	66
18	60	100	76
19	40	100	31
19	42	100	34
19	45	100	48
19	50	100	64
19	55	100	73
19	60	100	81
20	40	100	19
20	42	100	22
20	45	100	33
20	50	100	51
20	55	100	67
20	60	100	69
21	40	100	27
21	42	100	31
21	45	100	43
21	50	100	53
21	55	100	59
21	60	100	66
22	40	100	24
22	42	100	29
22	45	100	38
22	50	100	44
22	55	100	62
22	60	100	74
23	40	100	22
23	42	100	29
23	45	100	38
23	50	100	53
23	55	100	62
23	60	100	77
24	40	100	28
24	42	100	40
24	45	100	47
24	50	100	52
24	55	100	67
24	60	100	66
25	40	100	13
25	42	100	20
25	45	100	28
25	50	100	43
25	55	100	55
25	60	100	65
26	40	100	28
26	42	100	34
26	45	100	42
26	50	100	47
26	55	100	62
26	60	100	69
27	40	100	30
27	42	100	36
27	45	100	38
27	50	100	56
27	55	100	62
27	60	100	73
28	40	100	21
28	42	100	27
28	45	100	35
28	50	100	48
28	55	100	65
28	60	100	73
29	40	100	26
29	42	100	34
29	45	100	42
29	50	100	57
29	55	100	63
29	60	100	77
30	40	100	22
30	42	100	30
30	45	100	41
30	50	100	54
30	55	100	66
30	60	100	78
31	40	100	27
31	42	100	30
31	45	100	44
31	50	100	57
31	55	100	70
31	60	100	79
32	40	100	20
32	42	100	26
32	45	100	32
32	50	100	50
32	55	100	61
32	60	100	73
33	40	100	20
33	42	100	25
33	45	100	36
33	50	100	50
33	55	100	65
33	60	100	71
34	40	100	30
34	42	100	31
34	45	100	38
34	50	100	54
34	55	100	69
34	60	100	80
35	40	100	27
35	42	100	34
35	45	100	40
35	50	100	61
35	55	100	72
35	60	100	75
36	40	100	31
36	42	100	36
36	45	100	42
36	50	100	52
36	55	100	63
36	60	100	76
37	40	100	29
37	42	100	33
37	45	100	43
37	50	100	59
37	55	100	72
37	60	100	82
38	40	100	22
38	42	100	27
38	45	100	36
38	50	100	53
38	55	100	71
38	60	100	76
39	40	100	35
39	42	100	38
39	45	100	41
39	50	100	53
39	55	100	67
39	60	100	72
40	40	100	29
40	42	100	33
40	45	100	37
40	50	100	59
40	55	100	70
40	60	100	79
41	40	100	19
41	42	100	27
41	45	100	30
41	50	100	45
41	55	100	62
41	60	100	71
42	40	100	25
42	42	100	30
42	45	100	42
42	50	100	57
42	55	100	69
42	60	100	75
43	40	100	25
43	42	100	31
43	45	100	42
43	50	100	55
43	55	100	68
43	60	100	78
44	40	100	27
44	42	100	36
44	45	100	46
44	50	100	60
44	55	100	66
44	60	100	77
45	40	100	27
45	42	100	32
45	45	100	34
45	50	100	47
45	55	100	65
45	60	100	74
46	40	100	24
46	42	100	30
46	45	100	42
46	50	100	52
46	55	100	67
46	60	100	73
47	40	100	35
47	42	100	36
47	45	100	45
47	50	100	59
47	55	100	71
47	60	100	77
48	40	100	21
48	42	100	25
48	45	100	33
48	50	100	48
48	55	100	58
48	60	100	74
49	40	100	27
49	42	100	32
49	45	100	42
49	50	100	49
49	55	100	69
49	60	100	74
50	40	100	32
50	42	100	40
50	45	100	46
50	50	100	60
50	55	100	73
50	60	100	80
51	40	100	35
51	42	100	32
51	45	100	37
